Giornata;Squadra;Modulo;Giocatore;Titolare;PanchinaOrdine
1;Makumba FC;3-4-3;Zielinski;SI;0
1;Makumba FC;3-4-3;Kean;SI;0
1;Makumba FC;3-4-3;Adams C.;SI;0
1;Makumba FC;3-4-3;Piccoli;SI;0
1;Makumba FC;3-4-3;Perin;NO;1
1;Makumba FC;3-4-3;Pavlovic;NO;2
1;Makumba FC;3-4-3;Rodriguez Je.;NO;3
1;Makumba FC;3-4-3;Loftus-Cheek;NO;4
1;Makumba FC;3-4-3;Rowe;NO;5
1;Makumba FC;3-4-3;Orban G.;NO;6
1;Makumba FC;3-4-3;Di Gregorio;NO;7
1;Makumba FC;3-4-3;Bellanova;NO;8
1;Makumba FC;3-4-3;Zappacosta;NO;9
1;Makumba FC;3-4-3;Pinamonti;NO;10
1;Makumba FC;3-4-3;Bartesaghi;NO;11
1;Makumba FC;3-4-3;Politano;NO;12
1;Makumba FC;3-4-3;Taylor K.;NO;13
1;Makumba FC;3-4-3;Gabbia;NO;14
1;Nhamass dstrunz;3-4-3;Bijlow;SI;0
1;Nhamass dstrunz;3-4-3;Ramon;SI;0
1;Nhamass dstrunz;3-4-3;Kossounou;SI;0
1;Nhamass dstrunz;3-4-3;Celik;SI;0
1;Nhamass dstrunz;3-4-3;Malinovskyi;SI;0
1;Nhamass dstrunz;3-4-3;Perrone;SI;0
1;Nhamass dstrunz;3-4-3;Da Cunha;SI;0
1;Nhamass dstrunz;3-4-3;Zaccagni;SI;0
1;Nhamass dstrunz;3-4-3;Dybala;SI;0
1;Nhamass dstrunz;3-4-3;Kilicsoy;SI;0
1;Nhamass dstrunz;3-4-3;Berardi;SI;0
1;Nhamass dstrunz;3-4-3;Ekkelenkamp;NO;1
1;Nhamass dstrunz;3-4-3;Sportiello;NO;2
1;Nhamass dstrunz;3-4-3;Valle;NO;3
1;Nhamass dstrunz;3-4-3;Soulè;NO;4
1;Nhamass dstrunz;3-4-3;Pasalic;NO;5
1;Nhamass dstrunz;3-4-3;Kelly L.;NO;6
1;Nhamass dstrunz;3-4-3;Tavares N.;NO;7
1;Nhamass dstrunz;3-4-3;Scamacca;NO;8
1;Nhamass dstrunz;3-4-3;Carnesecchi;NO;9
1;Nhamass dstrunz;3-4-3;Konè I.;NO;10
1;Nhamass dstrunz;3-4-3;Kempf;NO;11
1;Nhamass dstrunz;3-4-3;Krstovic;NO;12
1;Nhamass dstrunz;3-4-3;Rrahmani;NO;13
1;Nhamass dstrunz;3-4-3;Tourè I.;NO;14
1;Reazione di Mallard;3-4-3;Butez;SI;0
1;Reazione di Mallard;3-4-3;Martin;SI;0
1;Reazione di Mallard;3-4-3;Coco;SI;0
1;Reazione di Mallard;3-4-3;Hien;SI;0
1;Reazione di Mallard;3-4-3;Ederson D.S.;SI;0
1;Reazione di Mallard;3-4-3;Atta;SI;0
1;Reazione di Mallard;3-4-3;Gudmundsson A.;SI;0
1;Reazione di Mallard;3-4-3;Matic;SI;0
1;Reazione di Mallard;3-4-3;Simeone;SI;0
1;Reazione di Mallard;3-4-3;David;SI;0
1;Reazione di Mallard;3-4-3;Vitinha O.;SI;0
1;Reazione di Mallard;3-4-3;Baturina;NO;1
1;Reazione di Mallard;3-4-3;Doig;NO;2
1;Reazione di Mallard;3-4-3;Lukaku;NO;3
1;Reazione di Mallard;3-4-3;Solomon;NO;4
1;Reazione di Mallard;3-4-3;Zaniolo;NO;5
1;Reazione di Mallard;3-4-3;Solet;NO;6
1;Reazione di Mallard;3-4-3;Wesley;NO;7
1;Reazione di Mallard;3-4-3;Caprile;NO;8
1;Reazione di Mallard;3-4-3;Durosinmi;NO;9
1;Reazione di Mallard;3-4-3;Rabiot;NO;10
1;Reazione di Mallard;3-4-3;Lucumì;NO;11
1;Reazione di Mallard;3-4-3;Provedel;NO;12
1;Reazione di Mallard;3-4-3;Cristante;NO;13
1;Reazione di Mallard;3-4-3;Gosens;NO;14
1;Vietato Sognare FC;3-4-3;Gollini;SI;0
1;Vietato Sognare FC;3-4-3;Bremer;SI;0
1;Vietato Sognare FC;3-4-3;Valeri;SI;0
1;Vietato Sognare FC;3-4-3;Maripan;SI;0
1;Vietato Sognare FC;3-4-3;Santos A.;SI;0
1;Vietato Sognare FC;3-4-3;Pellegrini Lo.;SI;0
1;Vietato Sognare FC;3-4-3;Bernabè;SI;0
1;Vietato Sognare FC;3-4-3;Zambo Anguissa;SI;0
1;Vietato Sognare FC;3-4-3;Malen;SI;0
1;Vietato Sognare FC;3-4-3;Moreo;SI;0
1;Vietato Sognare FC;3-4-3;Bonazzoli;SI;0
1;Vietato Sognare FC;3-4-3;Muric;NO;1
1;Vietato Sognare FC;3-4-3;Castro S.;NO;2
1;Vietato Sognare FC;3-4-3;Carlos Augusto;NO;3
1;Vietato Sognare FC;3-4-3;Muharemovic;NO;4
1;Vietato Sognare FC;3-4-3;Ratkov;NO;5
1;Vietato Sognare FC;3-4-3;Kristensen T.;NO;6
1;Vietato Sognare FC;3-4-3;Maldini;NO;7
1;Vietato Sognare FC;3-4-3;Zortea;NO;8
1;Vietato Sognare FC;3-4-3;Casadei;NO;9
1;Vietato Sognare FC;3-4-3;Modric;NO;10
1;Vietato Sognare FC;3-4-3;Hojlund;NO;11
1;Vietato Sognare FC;3-4-3;Svilar;NO;12
1;Vietato Sognare FC;3-4-3;Zalewski;NO;13
1;Vietato Sognare FC;3-4-3;Dumfries;NO;14
2;ARCORE FC;3-4-3;Audero;SI;0
2;ARCORE FC;3-4-3;N'Dicka;SI;0
2;ARCORE FC;3-4-3;De Winter;SI;0
2;ARCORE FC;3-4-3;Akanji;SI;0
2;ARCORE FC;3-4-3;Zaragoza;SI;0
2;ARCORE FC;3-4-3;Konè M.;SI;0
2;ARCORE FC;3-4-3;Sucic P.;SI;0
2;ARCORE FC;3-4-3;Thorsby;SI;0
2;ARCORE FC;3-4-3;Thuram;SI;0
2;ARCORE FC;3-4-3;Colombo;SI;0
2;ARCORE FC;3-4-3;Bonny;SI;0
2;ARCORE FC;3-4-3;McTominay;NO;1
2;ARCORE FC;3-4-3;Cataldi;NO;2
2;ARCORE FC;3-4-3;Cuadrado;NO;3
2;ARCORE FC;3-4-3;Bisseck;NO;4
2;ARCORE FC;3-4-3;Orsolini;NO;5
2;ARCORE FC;3-4-3;Tramoni M.;NO;6
2;ARCORE FC;3-4-3;Cambiaso;NO;7
2;ARCORE FC;3-4-3;Sanabria;NO;8
2;ARCORE FC;3-4-3;Falcone;NO;9
2;ARCORE FC;3-4-3;Ostigard;NO;10
2;ARCORE FC;3-4-3;Esposito Se.;NO;11
2;ARCORE FC;3-4-3;Pedro;NO;12
2;ARCORE FC;3-4-3;Di Lorenzo;NO;13
2;ARCORE FC;3-4-3;Okoye;NO;14
2;FC San Marco Evangelista;3-4-3;Terracciano;SI;0
2;FC San Marco Evangelista;3-4-3;Ranieri L.;SI;0
2;FC San Marco Evangelista;3-4-3;Buongiorno;SI;0
2;FC San Marco Evangelista;3-4-3;Kalulu;SI;0
2;FC San Marco Evangelista;3-4-3;Odgaard;SI;0
2;FC San Marco Evangelista;3-4-3;Miretti;SI;0
2;FC San Marco Evangelista;3-4-3;Paz N.;SI;0
2;FC San Marco Evangelista;3-4-3;Saelemaekers;SI;0
2;FC San Marco Evangelista;3-4-3;Pellegrino M.;SI;0
2;FC San Marco Evangelista;3-4-3;Ferguson E.;SI;0
2;FC San Marco Evangelista;3-4-3;Cancellieri;SI;0
2;FC San Marco Evangelista;3-4-3;Delprato;NO;1
2;FC San Marco Evangelista;3-4-3;De Ketelaere;NO;2
2;FC San Marco Evangelista;3-4-3;Maignan;NO;3
2;FC San Marco Evangelista;3-4-3;Suzuki;NO;4
2;FC San Marco Evangelista;3-4-3;Norton-Cuffy;NO;5
2;FC San Marco Evangelista;3-4-3;Yildiz;NO;6
2;FC San Marco Evangelista;3-4-3;Palestra;NO;7
2;FC San Marco Evangelista;3-4-3;Circati;NO;8
2;FC San Marco Evangelista;3-4-3;Barella;NO;9
2;FC San Marco Evangelista;3-4-3;Dele-Bashiru;NO;10
2;FC San Marco Evangelista;3-4-3;Iling Junior;NO;11
2;FC San Marco Evangelista;3-4-3;Boga;NO;12
2;FC San Marco Evangelista;3-4-3;Gila;NO;13
2;FC San Marco Evangelista;3-4-3;Brescianini;NO;14
2;FC bianchi;3-4-3;Contini;SI;0
2;FC bianchi;3-4-3;Dodò;SI;0
2;FC bianchi;3-4-3;Mina;SI;0
2;FC bianchi;3-4-3;Vasquez;SI;0
2;FC bianchi;3-4-3;Harroui;SI;0
2;FC bianchi;3-4-3;Strefezza;SI;0
2;FC bianchi;3-4-3;Thuram K.;SI;0
2;FC bianchi;3-4-3;Mkhitaryan;SI;0
2;FC bianchi;3-4-3;Davis K.;SI;0
2;FC bianchi;3-4-3;Zapata D.;SI;0
2;FC bianchi;3-4-3;Leao;SI;0
2;FC bianchi;3-4-3;Romagnoli;NO;1
2;FC bianchi;3-4-3;Raspadori;NO;2
2;FC bianchi;3-4-3;Meret;NO;3
2;FC bianchi;3-4-3;Fullkrug;NO;4
2;FC bianchi;3-4-3;Isaksen;NO;5
2;FC bianchi;3-4-3;Sottil;NO;6
2;FC bianchi;3-4-3;Scalvini;NO;7
2;FC bianchi;3-4-3;Rovella;NO;8
2;FC bianchi;3-4-3;McKennie;NO;9
2;FC bianchi;3-4-3;Diego Carlos;NO;10
2;FC bianchi;3-4-3;Milinkovic-Savic V.;NO;11
2;FC bianchi;3-4-3;Baschirotto;NO;12
2;FC bianchi;3-4-3;Vardy;NO;13
2;FC bianchi;3-4-3;Comuzzo;NO;14
2;Sinuoso;3-4-3;Sommer;SI;0
2;Sinuoso;3-4-3;Mancini;SI;0
2;Sinuoso;3-4-3;Olivera;SI;0
2;Sinuoso;3-4-3;Spinazzola;SI;0
2;Sinuoso;3-4-3;Vergara;SI;0
2;Sinuoso;3-4-3;Conceicao;SI;0
2;Sinuoso;3-4-3;Vlasic;SI;0
2;Sinuoso;3-4-3;De Roon;SI;0
2;Sinuoso;3-4-3;Martinez L.;SI;0
2;Sinuoso;3-4-3;Douvikas;SI;0
2;Sinuoso;3-4-3;Esposito F.P.;SI;0
2;Sinuoso;3-4-3;Thorstvedt;NO;1
2;Sinuoso;3-4-3;Darmian;NO;2
2;Sinuoso;3-4-3;Holm;NO;3
2;Sinuoso;3-4-3;Ricci S.;NO;4
2;Sinuoso;3-4-3;Di Gennaro;NO;5
2;Sinuoso;3-4-3;Nkunku;NO;6
2;Sinuoso;3-4-3;Laurientè;NO;7
2;Sinuoso;3-4-3;Calhanoglu;NO;8
2;Sinuoso;3-4-3;Locatelli;NO;9
2;Sinuoso;3-4-3;Heggem;NO;10
2;Sinuoso;3-4-3;Bastoni;NO;11
2;Sinuoso;3-4-3;Caracciolo A.;NO;12
2;Sinuoso;3-4-3;Nzola;NO;13
2;Sinuoso;3-4-3;Martinez Jo.;NO;14
2;Makumba FC;3-4-3;Perin;SI;0
2;Makumba FC;3-4-3;Bellanova;SI;0
2;Makumba FC;3-4-3;Estupinan;SI;0
2;Makumba FC;3-4-3;Tomori;SI;0
2;Makumba FC;3-4-3;Loftus-Cheek;SI;0
2;Makumba FC;3-4-3;Pulisic;SI;0
2;Makumba FC;3-4-3;Fofana Y.;SI;0
2;Makumba FC;3-4-3;Taylor K.;SI;0
2;Makumba FC;3-4-3;Rodriguez Je.;SI;0
2;Makumba FC;3-4-3;Orban G.;SI;0
2;Makumba FC;3-4-3;Kean;SI;0
2;Makumba FC;3-4-3;Pinamonti;NO;1
2;Makumba FC;3-4-3;Di Gregorio;NO;2
2;Makumba FC;3-4-3;Bartesaghi;NO;3
2;Makumba FC;3-4-3;Piccoli;NO;4
2;Makumba FC;3-4-3;Zielinski;NO;5
2;Makumba FC;3-4-3;Dimarco;NO;6
2;Makumba FC;3-4-3;Pavlovic;NO;7
2;Makumba FC;3-4-3;Rowe;NO;8
2;Makumba FC;3-4-3;Politano;NO;9
2;Makumba FC;3-4-3;Mandragora;NO;10
2;Makumba FC;3-4-3;Skorupski;NO;11
2;Makumba FC;3-4-3;Adams C.;NO;12
2;Makumba FC;3-4-3;Gabbia;NO;13
2;Makumba FC;3-4-3;Zappacosta;NO;14
2;Nhamass dstrunz;3-4-3;Bijlow;SI;0
2;Nhamass dstrunz;3-4-3;Kossounou;SI;0
2;Nhamass dstrunz;3-4-3;Rrahmani;SI;0
2;Nhamass dstrunz;3-4-3;Kelly L.;SI;0
2;Nhamass dstrunz;3-4-3;Pasalic;SI;0
2;Nhamass dstrunz;3-4-3;Konè I.;SI;0
2;Nhamass dstrunz;3-4-3;Tourè I.;SI;0
2;Nhamass dstrunz;3-4-3;Zaccagni;SI;0
2;Nhamass dstrunz;3-4-3;Krstovic;SI;0
2;Nhamass dstrunz;3-4-3;Dybala;SI;0
2;Nhamass dstrunz;3-4-3;Berardi;SI;0
2;Nhamass dstrunz;3-4-3;Kilicsoy;NO;1
2;Nhamass dstrunz;3-4-3;Da Cunha;NO;2
2;Nhamass dstrunz;3-4-3;Malinovskyi;NO;3
2;Nhamass dstrunz;3-4-3;Celik;NO;4
2;Nhamass dstrunz;3-4-3;Valle;NO;5
2;Nhamass dstrunz;3-4-3;Ramon;NO;6
2;Nhamass dstrunz;3-4-3;Ekkelenkamp;NO;7
2;Nhamass dstrunz;3-4-3;Soulè;NO;8
2;Nhamass dstrunz;3-4-3;Sportiello;NO;9
2;Nhamass dstrunz;3-4-3;Scamacca;NO;10
2;Nhamass dstrunz;3-4-3;Tavares N.;NO;11
2;Nhamass dstrunz;3-4-3;Perrone;NO;12
2;Nhamass dstrunz;3-4-3;Carnesecchi;NO;13
2;Nhamass dstrunz;3-4-3;Kempf;NO;14
2;Reazione di Mallard;3-4-3;Butez;SI;0
2;Reazione di Mallard;3-4-3;Coco;SI;0
2;Reazione di Mallard;3-4-3;Martin;SI;0
2;Reazione di Mallard;3-4-3;Doig;SI;0
2;Reazione di Mallard;3-4-3;Atta;SI;0
2;Reazione di Mallard;3-4-3;Rabiot;SI;0
2;Reazione di Mallard;3-4-3;Gudmundsson A.;SI;0
2;Reazione di Mallard;3-4-3;Matic;SI;0
2;Reazione di Mallard;3-4-3;Vitinha O.;SI;0
2;Reazione di Mallard;3-4-3;David;SI;0
2;Reazione di Mallard;3-4-3;Simeone;SI;0
2;Reazione di Mallard;3-4-3;Wesley;NO;1
2;Reazione di Mallard;3-4-3;Solomon;NO;2
2;Reazione di Mallard;3-4-3;Durosinmi;NO;3
2;Reazione di Mallard;3-4-3;Solet;NO;4
2;Reazione di Mallard;3-4-3;Zaniolo;NO;5
2;Reazione di Mallard;3-4-3;Gosens;NO;6
2;Reazione di Mallard;3-4-3;Hien;NO;7
2;Reazione di Mallard;3-4-3;Lucumì;NO;8
2;Reazione di Mallard;3-4-3;Baturina;NO;9
2;Reazione di Mallard;3-4-3;Caprile;NO;10
2;Reazione di Mallard;3-4-3;Lukaku;NO;11
2;Reazione di Mallard;3-4-3;Ederson D.S.;NO;12
2;Reazione di Mallard;3-4-3;Cristante;NO;13
2;Reazione di Mallard;3-4-3;Provedel;NO;14
2;Vietato Sognare FC;3-4-3;Muric;SI;0
2;Vietato Sognare FC;3-4-3;Valeri;SI;0
2;Vietato Sognare FC;3-4-3;Zortea;SI;0
2;Vietato Sognare FC;3-4-3;Dumfries;SI;0
2;Vietato Sognare FC;3-4-3;Zalewski;SI;0
2;Vietato Sognare FC;3-4-3;Santos A.;SI;0
2;Vietato Sognare FC;3-4-3;Casadei;SI;0
2;Vietato Sognare FC;3-4-3;Bernabè;SI;0
2;Vietato Sognare FC;3-4-3;Bonazzoli;SI;0
2;Vietato Sognare FC;3-4-3;Castro S.;SI;0
2;Vietato Sognare FC;3-4-3;Malen;SI;0
2;Vietato Sognare FC;3-4-3;Gollini;NO;1
2;Vietato Sognare FC;3-4-3;Maripan;NO;2
2;Vietato Sognare FC;3-4-3;Kristensen T.;NO;3
2;Vietato Sognare FC;3-4-3;Modric;NO;4
2;Vietato Sognare FC;3-4-3;Ratkov;NO;5
2;Vietato Sognare FC;3-4-3;Muharemovic;NO;6
2;Vietato Sognare FC;3-4-3;Pellegrini Lo.;NO;7
2;Vietato Sognare FC;3-4-3;Moreo;NO;8
2;Vietato Sognare FC;3-4-3;Zambo Anguissa;NO;9
2;Vietato Sognare FC;3-4-3;Hojlund;NO;10
2;Vietato Sognare FC;3-4-3;Carlos Augusto;NO;11
2;Vietato Sognare FC;3-4-3;Bremer;NO;12
2;Vietato Sognare FC;3-4-3;Svilar;NO;13
2;Vietato Sognare FC;3-4-3;Maldini;NO;14
3;ARCORE FC;3-4-3;Audero;SI;0
3;ARCORE FC;3-4-3;Cambiaso;SI;0
3;ARCORE FC;3-4-3;Bisseck;SI;0
3;ARCORE FC;3-4-3;N'Dicka;SI;0
3;ARCORE FC;3-4-3;Tramoni M.;SI;0
3;ARCORE FC;3-4-3;Zaragoza;SI;0
3;ARCORE FC;3-4-3;Cataldi;SI;0
3;ARCORE FC;3-4-3;Konè M.;SI;0
3;ARCORE FC;3-4-3;Bonny;SI;0
3;ARCORE FC;3-4-3;Thuram;SI;0
3;ARCORE FC;3-4-3;Esposito Se.;SI;0
3;ARCORE FC;3-4-3;Okoye;NO;1
3;ARCORE FC;3-4-3;Thorsby;NO;2
3;ARCORE FC;3-4-3;Ostigard;NO;3
3;ARCORE FC;3-4-3;Pedro;NO;4
3;ARCORE FC;3-4-3;Di Lorenzo;NO;5
3;ARCORE FC;3-4-3;Sanabria;NO;6
3;ARCORE FC;3-4-3;McTominay;NO;7
3;ARCORE FC;3-4-3;Orsolini;NO;8
3;ARCORE FC;3-4-3;Sucic P.;NO;9
3;ARCORE FC;3-4-3;Akanji;NO;10
3;ARCORE FC;3-4-3;Cuadrado;NO;11
3;ARCORE FC;3-4-3;De Winter;NO;12
3;ARCORE FC;3-4-3;Colombo;NO;13
3;ARCORE FC;3-4-3;Falcone;NO;14
3;FC San Marco Evangelista;3-4-3;Suzuki;SI;0
3;FC San Marco Evangelista;3-4-3;Kalulu;SI;0
3;FC San Marco Evangelista;3-4-3;Circati;SI;0
3;FC San Marco Evangelista;3-4-3;Buongiorno;SI;0
3;FC San Marco Evangelista;3-4-3;Iling Junior;SI;0
3;FC San Marco Evangelista;3-4-3;Miretti;SI;0
3;FC San Marco Evangelista;3-4-3;Dele-Bashiru;SI;0
3;FC San Marco Evangelista;3-4-3;Odgaard;SI;0
3;FC San Marco Evangelista;3-4-3;Ferguson E.;SI;0
3;FC San Marco Evangelista;3-4-3;Cancellieri;SI;0
3;FC San Marco Evangelista;3-4-3;Boga;SI;0
3;FC San Marco Evangelista;3-4-3;Paz N.;NO;1
3;FC San Marco Evangelista;3-4-3;Palestra;NO;2
3;FC San Marco Evangelista;3-4-3;De Ketelaere;NO;3
3;FC San Marco Evangelista;3-4-3;Barella;NO;4
3;FC San Marco Evangelista;3-4-3;Saelemaekers;NO;5
3;FC San Marco Evangelista;3-4-3;Pellegrino M.;NO;6
3;FC San Marco Evangelista;3-4-3;Ranieri L.;NO;7
3;FC San Marco Evangelista;3-4-3;Maignan;NO;8
3;FC San Marco Evangelista;3-4-3;Brescianini;NO;9
3;FC San Marco Evangelista;3-4-3;Gila;NO;10
3;FC San Marco Evangelista;3-4-3;Yildiz;NO;11
3;FC San Marco Evangelista;3-4-3;Terracciano;NO;12
3;FC San Marco Evangelista;3-4-3;Norton-Cuffy;NO;13
3;FC San Marco Evangelista;3-4-3;Delprato;NO;14
3;FC bianchi;3-4-3;Meret;SI;0
3;FC bianchi;3-4-3;Dodò;SI;0
3;FC bianchi;3-4-3;Romagnoli;SI;0
3;FC bianchi;3-4-3;Diego Carlos;SI;0
3;FC bianchi;3-4-3;Thuram K.;SI;0
3;FC bianchi;3-4-3;Harroui;SI;0
3;FC bianchi;3-4-3;Strefezza;SI;0
3;FC bianchi;3-4-3;Sottil;SI;0
3;FC bianchi;3-4-3;Fullkrug;SI;0
3;FC bianchi;3-4-3;Vardy;SI;0
3;FC bianchi;3-4-3;Zapata D.;SI;0
3;FC bianchi;3-4-3;Scalvini;NO;1
3;FC bianchi;3-4-3;McKennie;NO;2
3;FC bianchi;3-4-3;Davis K.;NO;3
3;FC bianchi;3-4-3;Leao;NO;4
3;FC bianchi;3-4-3;Rovella;NO;5
3;FC bianchi;3-4-3;Contini;NO;6
3;FC bianchi;3-4-3;Mina;NO;7
3;FC bianchi;3-4-3;Baschirotto;NO;8
3;FC bianchi;3-4-3;Raspadori;NO;9
3;FC bianchi;3-4-3;Isaksen;NO;10
3;FC bianchi;3-4-3;Vasquez;NO;11
3;FC bianchi;3-4-3;Mkhitaryan;NO;12
3;FC bianchi;3-4-3;Milinkovic-Savic V.;NO;13
3;FC bianchi;3-4-3;Comuzzo;NO;14
3;Sinuoso;3-4-3;Sommer;SI;0
3;Sinuoso;3-4-3;Holm;SI;0
3;Sinuoso;3-4-3;Caracciolo A.;SI;0
3;Sinuoso;3-4-3;Spinazzola;SI;0
3;Sinuoso;3-4-3;Vlasic;SI;0
3;Sinuoso;3-4-3;Calhanoglu;SI;0
3;Sinuoso;3-4-3;Thorstvedt;SI;0
3;Sinuoso;3-4-3;Vergara;SI;0
3;Sinuoso;3-4-3;Laurientè;SI;0
3;Sinuoso;3-4-3;Douvikas;SI;0
3;Sinuoso;3-4-3;Nzola;SI;0
3;Sinuoso;3-4-3;Heggem;NO;1
3;Sinuoso;3-4-3;Nkunku;NO;2
3;Sinuoso;3-4-3;Olivera;NO;3
3;Sinuoso;3-4-3;Conceicao;NO;4
3;Sinuoso;3-4-3;Mancini;NO;5
3;Sinuoso;3-4-3;Locatelli;NO;6
3;Sinuoso;3-4-3;De Roon;NO;7
3;Sinuoso;3-4-3;Esposito F.P.;NO;8
